,Season,Team,Avg FG3%,Avg FG%,Avg FT%,AvgTO,avgScore,avgBlk,avgDr,avgAst,avgPf,avgStl,avgOR,Home Win,Neutral Win,Away Win,Wins,Losses,Upsets,Games,AvgWinRank,AvgLossRank,AvgOffRating,AvgDefRating,AvgNetRating,Top 25 Wins,Top 10 Wins
2006_1266,2006,1266,39.77,45.01,73.27,14.79,74.21,3.07,23.59,15.28,19.48,7.52,11.97,13,3,3,19,10,2,29,122.58,46.6,106.34,100.51,5.84,2,1
2006_1267,2006,1267,30.42,40.53,67.49,16.25,65.89,2.61,22.71,13.43,18.54,7.79,13.86,7,2,3,12,16,5,28,229.67,150.56,96.23,99.97,-3.74,0,0
2006_1268,2006,1268,37.24,44.86,72.67,16.63,77.43,5.83,25.1,15.93,19.23,7.9,14.03,14,2,2,18,12,2,30,147.17,36.42,103.32,98.22,5.1,1,0
2006_1269,2006,1269,30.51,43.83,64.3,17.0,64.86,7.21,24.32,13.36,18.79,5.79,12.93,10,1,2,13,15,4,28,179.15,87.33,97.46,95.35,2.11,0,0
2006_1270,2006,1270,36.82,41.42,67.8,16.48,70.8,2.44,21.2,11.76,21.92,9.72,13.92,6,0,5,11,14,5,25,227.82,163.0,97.32,100.86,-3.54,0,0
2006_1271,2006,1271,31.98,39.96,58.56,17.14,64.9,3.1,22.28,11.72,18.28,6.0,13.45,3,1,3,7,22,3,29,295.29,217.82,89.96,103.84,-13.88,0,0
2006_1272,2006,1272,35.2,44.78,68.48,15.82,80.91,6.76,26.24,15.73,20.21,9.79,15.82,19,1,10,30,3,0,33,136.5,13.67,108.44,88.58,19.86,3,3
2006_1273,2006,1273,32.89,44.28,68.49,14.86,73.5,2.86,24.18,11.89,17.57,6.07,12.54,4,0,5,9,19,3,28,302.22,192.16,101.55,111.58,-10.03,0,0
2006_1274,2006,1274,34.96,43.62,69.51,12.58,68.65,4.03,21.81,11.71,18.06,7.0,13.58,10,3,3,16,15,5,31,167.75,40.53,107.12,101.68,5.44,1,0
2006_1275,2006,1275,33.74,46.1,73.44,13.21,63.21,2.75,23.43,12.39,18.21,5.46,8.0,11,0,7,18,10,1,28,202.17,71.1,101.45,98.1,3.35,0,0
2006_1276,2006,1276,36.73,48.03,76.09,15.5,71.32,4.04,23.18,14.82,16.5,6.18,10.71,13,0,5,18,10,3,28,126.06,38.5,108.0,100.39,7.61,3,0
2006_1277,2006,1277,37.03,47.74,77.17,14.09,73.94,2.97,24.78,16.59,18.09,6.28,11.06,12,6,3,21,11,3,32,118.38,31.27,109.35,101.73,7.62,6,2
2006_1278,2006,1278,32.31,43.6,66.44,14.59,65.9,3.52,22.69,14.24,16.72,8.41,12.14,12,1,2,15,14,5,29,126.2,55.29,99.16,96.36,2.8,2,1
2006_1279,2006,1279,32.79,43.97,63.0,15.8,65.03,2.8,21.17,13.53,19.27,7.13,12.6,11,2,1,14,16,5,30,197.57,63.38,98.52,102.04,-3.52,0,0
2006_1280,2006,1280,31.39,44.47,63.33,17.33,68.1,4.53,25.53,11.0,17.63,6.2,13.4,11,3,1,15,15,6,30,153.13,65.13,97.76,99.09,-1.33,0,0
2006_1281,2006,1281,33.66,42.8,65.12,15.79,66.29,2.25,21.11,12.04,18.14,5.96,12.64,11,0,1,12,16,6,28,160.75,77.88,98.09,105.14,-7.05,2,0
2006_1282,2006,1282,37.0,42.32,72.45,12.04,70.37,2.78,20.63,11.56,19.26,7.04,11.0,8,0,5,13,14,4,27,277.23,178.0,104.36,110.1,-5.74,0,0
2006_1283,2006,1283,38.1,46.12,74.71,13.96,75.32,3.29,24.61,15.0,18.68,8.29,12.11,12,0,8,20,8,0,28,147.95,31.25,108.0,95.64,12.36,1,0
2006_1284,2006,1284,33.78,44.33,66.55,15.09,64.84,3.44,23.81,14.66,16.94,7.66,8.84,8,1,9,18,14,1,32,221.72,170.79,96.04,94.28,1.76,0,0
2006_1285,2006,1285,38.29,48.93,71.28,14.15,78.15,2.93,24.07,17.7,18.81,7.3,11.07,11,2,8,21,6,0,27,184.76,169.33,111.93,101.21,10.72,0,0
2006_1286,2006,1286,37.33,45.89,65.0,14.41,73.0,3.48,23.59,15.33,18.15,5.7,10.59,10,0,3,13,14,8,27,224.08,156.29,104.71,106.81,-2.1,0,0
2006_1287,2006,1287,31.58,41.7,69.61,16.92,59.85,3.15,20.69,12.42,19.08,6.81,10.23,1,0,2,3,23,3,26,273.33,180.13,90.33,110.23,-19.9,0,0
2006_1288,2006,1288,28.29,37.5,62.1,18.73,54.87,3.3,21.0,9.73,19.7,5.43,10.63,2,0,2,4,26,4,30,292.75,212.5,78.9,106.41,-27.51,0,0
2006_1290,2006,1290,35.92,42.16,60.44,15.56,60.74,1.96,20.44,11.07,19.26,5.37,12.19,5,0,4,9,18,4,27,284.67,202.06,94.21,107.11,-12.9,0,0
2006_1291,2006,1291,30.17,41.41,71.89,13.7,64.63,2.6,21.27,12.2,20.7,7.53,10.87,7,1,5,13,17,5,30,246.46,169.88,97.42,100.25,-2.84,0,0
2006_1292,2006,1292,34.23,43.48,71.02,14.26,69.81,2.15,22.48,12.81,19.78,6.48,11.89,8,1,6,15,12,2,27,191.2,132.75,103.38,103.39,-0.0,0,0
2006_1293,2006,1293,35.66,45.14,65.09,12.45,71.1,4.83,23.9,16.0,18.45,7.9,12.97,13,2,8,23,6,0,29,211.43,104.33,108.75,93.71,15.04,0,0
2006_1294,2006,1294,35.51,43.72,65.79,17.48,64.56,2.3,20.93,15.41,21.11,5.11,12.44,3,0,0,3,24,2,27,309.0,175.08,96.43,111.98,-15.56,0,0
2006_1295,2006,1295,39.73,45.58,73.8,16.75,69.96,3.54,23.88,13.25,19.08,5.67,12.33,8,2,2,12,12,4,24,232.33,197.5,104.7,101.25,3.45,1,0
2006_1296,2006,1296,38.22,47.86,70.98,13.3,70.52,3.7,21.89,15.81,17.78,5.48,10.15,9,1,6,16,11,3,27,213.88,99.55,109.4,105.52,3.88,0,0
2006_1298,2006,1298,34.82,39.26,71.53,18.12,65.65,2.19,21.46,11.92,21.77,7.77,13.65,4,1,3,8,18,3,26,293.88,165.06,93.46,102.22,-8.75,0,0
2006_1299,2006,1299,28.0,39.01,59.32,16.28,61.72,2.72,21.17,11.31,19.24,6.83,11.69,4,0,2,6,23,4,29,280.83,211.65,87.69,99.94,-12.25,0,0
2006_1301,2006,1301,37.89,46.7,75.65,13.67,75.7,4.87,24.2,16.0,17.7,7.37,9.03,15,1,5,21,9,3,30,151.05,49.11,111.02,99.02,12.0,1,0
2006_1304,2006,1304,34.75,41.2,67.07,15.66,66.84,3.84,25.31,13.34,16.53,6.59,13.31,14,2,3,19,13,7,32,166.47,60.23,99.03,96.45,2.59,2,0
2006_1305,2006,1305,35.97,45.23,72.04,12.97,72.23,4.74,25.68,15.35,16.26,5.39,12.65,16,0,10,26,5,0,31,152.62,80.4,107.12,93.05,14.07,1,0
2006_1306,2006,1306,34.83,41.78,78.46,14.38,59.31,1.97,20.9,12.1,17.07,4.45,7.86,7,1,4,12,17,4,29,250.75,191.82,97.6,104.95,-7.35,0,0
2006_1307,2006,1307,34.59,45.54,66.91,12.17,64.63,2.23,20.97,13.6,16.43,7.3,8.5,15,0,2,17,13,4,30,186.0,91.92,102.6,98.9,3.7,0,0
2006_1308,2006,1308,35.11,45.14,70.05,16.31,69.76,2.28,23.1,11.14,17.83,6.76,10.9,9,2,4,15,14,4,29,166.2,88.64,100.45,102.14,-1.68,0,0
2006_1309,2006,1309,34.26,41.63,64.72,14.93,63.56,2.59,21.78,13.19,17.37,6.41,11.44,6,1,1,8,19,7,27,219.25,128.05,95.29,105.04,-9.74,0,0
2006_1310,2006,1310,32.51,41.48,74.63,14.38,73.72,2.31,23.79,13.86,17.0,5.86,14.52,6,2,3,11,18,4,29,207.64,131.11,106.06,109.74,-3.68,0,0
2006_1311,2006,1311,33.51,42.92,71.01,16.65,69.04,3.35,24.27,12.5,18.38,5.42,9.46,6,0,2,8,18,4,26,261.12,163.89,95.33,109.58,-14.25,0,0
2006_1313,2006,1313,29.28,41.97,61.44,17.32,61.87,2.77,23.9,9.48,20.68,7.39,14.26,6,2,5,13,18,2,31,297.31,152.89,91.92,97.83,-5.92,0,0
2006_1314,2006,1314,38.1,48.2,70.31,16.62,80.38,3.93,25.97,17.97,17.38,7.9,14.03,13,1,8,22,7,1,29,103.23,47.71,111.11,96.11,15.01,2,1
2006_1316,2006,1316,34.07,44.22,71.98,16.46,68.73,2.46,21.69,13.08,18.27,5.92,11.65,4,0,0,4,22,3,26,301.5,221.82,98.41,109.7,-11.29,0,0
2006_1317,2006,1317,37.05,42.74,67.23,16.12,73.88,4.8,22.96,11.88,21.92,8.76,13.76,8,0,3,11,14,3,25,230.91,132.57,100.45,102.89,-2.44,0,0
2006_1318,2006,1318,33.03,44.46,73.32,13.69,74.17,8.0,25.21,15.93,15.55,6.21,11.93,9,4,5,18,11,3,29,213.33,71.45,104.92,99.9,5.03,0,0
2006_1319,2006,1319,39.24,47.66,75.48,16.68,74.93,2.57,22.57,15.54,20.64,6.71,10.04,10,2,6,18,10,1,28,219.22,114.6,103.84,102.73,1.11,0,0
2006_1320,2006,1320,34.78,45.41,71.99,12.43,65.43,3.43,24.7,13.6,14.23,5.23,8.5,11,3,7,21,9,4,30,135.62,53.22,103.86,93.72,10.14,4,1
2006_1321,2006,1321,32.06,44.41,67.34,12.36,58.11,2.43,19.75,14.71,15.5,7.57,6.5,8,2,3,13,15,5,28,139.38,54.0,97.64,99.36,-1.72,2,1
2006_1322,2006,1322,36.31,46.42,67.25,15.79,75.76,3.28,22.59,16.66,20.9,8.83,13.07,11,1,10,22,7,0,29,216.68,80.14,106.32,98.21,8.1,0,0
2006_1323,2006,1323,40.32,44.48,72.46,11.79,76.0,3.5,26.04,15.61,16.11,5.64,12.18,11,0,4,15,13,5,28,167.0,35.77,113.3,104.39,8.91,0,0
2006_1324,2006,1324,33.46,44.38,68.17,15.78,72.22,2.11,22.15,11.81,17.11,7.37,13.52,4,1,4,9,18,4,27,262.56,165.33,103.93,112.12,-8.19,0,0
2006_1325,2006,1325,35.98,45.6,69.43,13.93,69.1,2.31,21.97,14.07,16.62,8.21,11.03,12,1,5,18,11,2,29,195.94,83.18,106.87,99.8,7.08,0,0
2006_1326,2006,1326,37.06,46.93,71.95,12.13,74.7,2.7,23.93,15.7,15.4,7.0,10.1,16,3,6,25,5,0,30,109.08,18.0,111.18,95.1,16.08,4,0
2006_1328,2006,1328,35.88,44.85,71.51,14.04,68.61,3.43,21.96,14.46,16.93,7.11,14.64,14,0,6,20,8,1,28,124.9,57.25,108.57,99.1,9.47,1,1
2006_1329,2006,1329,35.92,48.13,73.97,17.12,70.72,3.38,21.88,15.09,19.72,8.09,11.81,11,3,3,17,15,3,32,163.71,51.33,103.7,97.57,6.13,2,2
2006_1330,2006,1330,34.58,43.98,71.54,12.8,70.87,3.33,24.5,15.53,16.2,7.93,11.97,13,2,6,21,9,2,30,183.95,71.89,106.38,95.35,11.03,0,0
2006_1331,2006,1331,38.52,45.32,71.14,14.42,74.32,4.13,23.9,15.84,17.61,6.65,13.48,12,2,6,20,11,1,31,249.15,100.09,108.77,98.49,10.28,0,0
2006_1332,2006,1332,33.49,45.64,66.84,12.59,69.22,2.94,21.97,13.47,17.97,5.44,11.28,9,2,3,14,18,4,32,168.36,78.28,106.35,100.26,6.09,1,0
2006_1333,2006,1333,35.32,43.86,69.58,15.45,65.9,4.74,22.81,11.71,17.03,5.52,10.35,7,4,2,13,18,7,31,181.31,91.5,98.28,104.18,-5.89,1,0
2006_1334,2006,1334,38.48,48.52,74.59,12.55,73.72,2.1,25.31,15.66,15.38,5.93,9.86,10,3,9,22,7,2,29,220.23,143.29,110.98,95.06,15.92,0,0
2006_1335,2006,1335,31.84,44.92,67.63,13.59,69.0,2.7,21.74,14.41,17.96,10.04,10.52,12,0,7,19,8,0,27,222.53,100.12,102.35,90.31,12.04,0,0
2006_1336,2006,1336,35.96,44.15,67.29,12.72,67.24,1.9,22.07,15.62,13.9,6.93,11.86,11,1,3,15,14,5,29,189.13,27.93,103.6,104.94,-1.34,1,0
2006_1337,2006,1337,32.38,41.0,67.67,15.11,65.96,3.19,23.96,10.41,20.96,6.56,11.96,6,0,1,7,20,6,27,167.14,132.3,92.89,104.27,-11.38,0,0
2006_1338,2006,1338,35.21,45.19,68.85,13.74,72.45,3.84,26.1,16.52,17.06,6.35,13.1,16,3,5,24,7,1,31,113.33,45.71,107.3,93.56,13.74,3,1
2006_1339,2006,1339,37.89,42.85,72.01,13.79,68.86,2.11,21.79,11.96,19.32,7.0,10.11,7,0,4,11,17,7,28,197.09,151.88,98.5,106.35,-7.85,0,0
2006_1340,2006,1340,40.31,44.75,67.64,16.88,71.08,3.04,22.77,14.54,20.19,6.0,12.42,4,1,5,10,16,2,26,238.7,127.62,102.4,103.4,-1.0,0,0
2006_1341,2006,1341,32.71,39.52,60.29,17.48,65.11,2.0,20.93,9.96,19.78,8.0,12.78,3,0,0,3,24,3,27,295.67,230.08,87.63,107.16,-19.53,0,0
2006_1343,2006,1343,36.78,41.85,77.81,13.27,52.15,1.92,16.81,11.08,18.88,7.31,5.42,7,0,5,12,14,5,26,219.25,165.64,94.36,100.93,-6.57,0,0
2006_1344,2006,1344,35.02,45.82,68.94,14.96,74.81,4.93,22.04,13.19,17.93,7.89,13.59,9,0,3,12,15,5,27,152.75,45.8,106.83,107.29,-0.46,0,0
2006_1345,2006,1345,32.9,45.08,68.38,17.68,64.68,3.32,21.75,13.07,19.0,5.39,10.93,9,0,0,9,19,4,28,166.89,60.89,95.49,105.13,-9.64,1,0
2006_1346,2006,1346,32.74,43.68,72.09,17.15,72.33,3.07,24.74,14.52,20.44,6.59,11.85,7,1,3,11,16,4,27,256.45,185.56,99.65,102.37,-2.72,0,0
2006_1347,2006,1347,33.51,42.26,74.24,12.85,72.78,4.48,23.04,11.41,20.04,6.67,11.41,6,3,5,14,13,3,27,253.36,148.69,104.22,105.85,-1.63,0,0
2006_1348,2006,1348,30.54,42.21,68.38,12.54,63.54,3.14,22.82,12.39,17.75,5.54,13.29,10,0,4,14,14,6,28,187.29,97.79,100.74,101.8,-1.06,0,0
2006_1349,2006,1349,33.33,42.72,72.63,15.04,66.04,2.85,22.38,13.35,17.62,7.54,10.65,7,0,3,10,16,4,26,231.8,122.69,95.97,102.55,-6.58,0,0
2006_1350,2006,1350,29.54,39.96,65.73,13.93,52.07,4.63,19.3,12.13,16.93,5.07,8.43,11,1,1,13,17,7,30,203.15,114.71,90.09,99.65,-9.55,0,0
2006_1351,2006,1351,35.13,42.56,71.6,15.64,70.75,3.5,24.5,14.93,18.29,6.32,10.39,5,1,2,8,20,5,28,207.88,125.5,99.54,108.59,-9.05,0,0
2006_1352,2006,1352,38.5,42.12,73.05,14.85,71.37,2.67,21.85,13.52,17.22,7.26,12.78,9,0,4,13,14,3,27,241.0,200.0,103.7,106.42,-2.72,0,0
2006_1353,2006,1353,36.38,42.57,72.93,12.37,68.03,4.5,23.1,12.03,20.23,5.63,10.87,11,2,4,17,13,6,30,144.76,58.0,103.83,99.24,4.59,0,0
2006_1354,2006,1354,29.79,43.14,69.18,17.87,60.3,2.43,23.3,9.57,20.2,6.3,11.17,5,3,6,14,16,2,30,273.64,168.44,91.79,97.52,-5.72,0,0
2006_1355,2006,1355,34.24,40.09,69.29,18.79,63.07,2.11,22.25,11.71,18.18,6.75,13.0,5,1,2,8,20,4,28,264.5,150.9,89.44,105.5,-16.06,0,0
2006_1356,2006,1356,33.65,41.1,68.79,14.32,60.77,3.19,20.97,12.29,19.65,8.58,11.84,11,4,7,22,9,4,31,122.77,85.89,96.99,87.83,9.15,3,0
2006_1357,2006,1357,30.58,44.96,69.4,16.43,66.18,2.61,23.61,12.21,18.11,7.39,11.36,8,0,3,11,17,7,28,234.55,193.24,98.61,101.48,-2.87,0,0
2006_1358,2006,1358,36.82,44.38,61.92,16.37,71.89,3.3,23.56,17.19,20.78,7.37,12.41,10,1,7,18,9,2,27,214.89,141.0,101.24,100.01,1.23,0,0
2006_1359,2006,1359,38.49,46.37,71.13,10.62,63.76,1.55,18.97,14.69,14.41,6.31,7.69,8,2,8,18,11,1,29,217.22,117.91,110.45,105.11,5.35,0,0
2006_1360,2006,1360,39.39,47.64,69.17,16.62,77.66,3.66,23.52,15.83,19.9,7.0,11.48,8,3,6,17,12,5,29,194.76,150.33,105.52,101.5,4.02,0,0
2006_1361,2006,1361,39.42,45.74,72.17,14.83,73.93,3.03,21.83,13.17,16.67,7.73,13.13,12,4,6,22,8,1,30,165.32,109.88,109.36,99.07,10.29,0,0
2006_1362,2006,1362,33.64,42.91,66.2,14.25,69.11,3.68,22.64,13.04,18.68,6.54,12.68,8,0,3,11,17,6,28,184.55,113.35,100.0,103.97,-3.97,0,0
2006_1363,2006,1363,30.56,40.89,65.62,13.84,65.0,3.06,23.23,11.94,17.9,5.65,12.42,2,1,3,6,25,3,31,235.33,117.28,93.01,100.76,-7.76,0,0
2006_1364,2006,1364,34.84,44.08,70.96,13.43,66.54,3.25,23.04,12.32,17.43,6.0,10.46,8,1,5,14,14,5,28,237.86,177.43,102.02,101.16,0.86,0,0
2006_1365,2006,1365,31.58,41.42,70.64,13.89,66.7,3.37,24.15,13.37,18.85,6.19,12.15,7,1,3,11,16,3,27,207.73,115.56,98.45,102.46,-4.01,0,0
2006_1366,2006,1366,31.03,36.57,69.65,20.48,55.0,2.81,19.52,8.48,22.07,6.3,9.0,1,0,0,1,26,1,27,314.0,214.04,77.48,115.26,-37.78,0,0
2006_1368,2006,1368,35.83,43.64,67.32,13.04,66.96,3.67,21.46,11.71,18.29,6.75,11.92,8,0,5,13,11,2,24,234.23,156.09,102.03,101.1,0.93,0,0
2006_1369,2006,1369,33.95,38.72,74.53,14.28,62.84,3.04,23.12,12.36,17.08,5.12,11.56,3,0,2,5,20,5,25,218.8,184.65,95.38,107.5,-12.12,0,0
2006_1371,2006,1371,33.6,41.19,73.95,13.45,67.83,2.59,24.31,12.52,18.79,6.76,12.55,13,0,5,18,11,5,29,120.44,74.27,100.86,98.53,2.33,2,0
2006_1372,2006,1372,36.8,44.88,70.1,12.96,70.38,1.04,21.96,13.88,18.85,7.38,12.12,8,0,6,14,12,6,26,253.14,188.0,105.2,99.61,5.59,0,0
2006_1373,2006,1373,37.76,42.67,75.92,13.25,74.43,2.18,22.89,13.82,15.75,8.18,10.93,10,0,5,15,13,3,28,185.73,112.15,104.66,103.13,1.53,0,0
2006_1374,2006,1374,30.52,42.83,70.67,15.96,65.57,4.64,23.96,12.86,18.89,7.68,12.46,8,1,3,12,16,5,28,271.92,126.75,97.06,95.61,1.44,0,0
2006_1375,2006,1375,36.52,45.42,70.43,13.24,74.1,1.31,22.76,14.17,18.72,8.48,11.17,11,3,9,23,6,2,29,196.61,136.83,108.76,96.02,12.75,0,0
2006_1376,2006,1376,36.16,45.81,67.93,12.22,67.12,4.28,20.44,14.12,14.75,7.28,11.53,9,4,4,17,15,5,32,126.24,53.73,108.07,101.23,6.83,3,1
2006_1378,2006,1378,33.64,41.98,68.7,18.24,59.86,5.59,22.48,11.69,18.59,5.72,11.31,4,2,1,7,22,4,29,208.0,91.05,90.47,98.25,-7.77,0,0
2006_1379,2006,1379,30.06,40.92,68.81,15.18,58.61,1.5,20.93,10.57,20.5,5.57,11.04,5,2,0,7,21,5,28,223.14,110.81,91.83,106.72,-14.89,0,0
2006_1380,2006,1380,31.88,44.09,64.8,17.58,65.77,3.81,25.71,12.35,17.87,7.58,13.1,10,3,6,19,12,1,31,275.79,135.5,95.12,93.0,2.13,0,0
2006_1381,2006,1381,43.0,47.24,71.46,14.59,68.03,2.21,21.79,15.34,18.79,6.28,6.76,7,0,2,9,20,6,29,259.78,188.9,101.86,107.23,-5.37,0,0
2006_1382,2006,1382,26.41,42.79,62.67,13.52,68.11,2.74,22.67,13.48,16.52,5.7,13.78,6,0,2,8,19,5,27,256.25,133.37,98.84,107.05,-8.21,0,0
2006_1383,2006,1383,34.31,41.11,65.82,15.22,63.74,3.59,22.81,11.78,21.07,7.7,11.67,8,0,2,10,17,7,27,251.9,173.35,94.39,98.86,-4.48,0,0
2006_1384,2006,1384,33.74,39.74,66.67,14.52,59.44,3.04,20.41,12.7,16.37,5.26,10.15,2,0,1,3,24,3,27,233.67,201.08,91.95,110.75,-18.79,0,0
2006_1385,2006,1385,26.65,41.37,65.65,16.15,59.96,3.93,24.37,13.04,19.37,7.04,13.74,10,0,2,12,15,5,27,182.83,51.8,92.98,93.99,-1.0,1,0
2006_1386,2006,1386,36.18,43.01,79.28,12.81,65.68,4.0,22.87,13.61,18.74,5.55,9.35,6,4,8,18,13,1,31,147.94,67.15,104.66,97.21,7.45,1,0
2006_1387,2006,1387,32.86,41.37,69.59,13.28,60.31,3.72,23.41,12.14,17.0,5.14,10.9,11,0,5,16,13,4,29,177.88,87.23,96.19,95.58,0.6,0,0
2006_1388,2006,1388,36.17,43.54,71.17,14.96,69.86,3.93,24.75,10.82,18.71,5.71,12.36,10,1,5,16,12,2,28,192.5,94.17,103.63,99.2,4.43,1,0
2006_1389,2006,1389,33.9,42.16,72.51,13.06,74.53,3.47,22.81,13.56,19.59,8.0,14.84,7,3,7,17,15,5,32,187.29,127.27,105.82,105.97,-0.15,0,0
2006_1390,2006,1390,34.88,42.49,76.91,13.82,66.43,4.61,22.89,14.29,16.64,5.32,11.43,10,1,4,15,13,2,28,158.27,74.85,101.09,99.6,1.49,0,0
2006_1391,2006,1391,34.45,43.0,73.57,14.47,66.53,2.69,19.62,11.78,19.56,8.66,11.0,7,1,6,14,18,6,32,270.57,174.44,99.26,103.48,-4.22,0,0
2006_1392,2006,1392,33.94,38.13,60.52,13.07,58.18,2.07,19.32,9.79,21.36,6.57,11.64,3,0,1,4,24,3,28,276.0,180.71,89.17,106.06,-16.9,0,0
2006_1393,2006,1393,34.27,43.95,64.25,15.29,72.85,6.44,24.65,15.56,17.91,9.03,13.68,14,6,3,23,11,2,34,119.87,27.55,102.81,97.47,5.35,2,1
2006_1394,2006,1394,37.62,48.11,70.78,17.0,78.29,3.92,25.08,17.92,21.54,8.71,12.04,9,2,5,16,8,0,24,299.19,115.12,106.08,92.27,13.81,0,0
2006_1395,2006,1395,32.3,37.07,63.61,15.9,62.33,2.2,20.73,12.0,19.3,7.67,13.43,6,0,0,6,24,5,30,222.0,119.12,90.22,100.98,-10.76,0,0
2006_1396,2006,1396,32.53,39.8,59.7,7.74,62.29,2.48,19.71,9.74,15.42,10.03,11.77,11,2,4,17,14,5,31,140.71,74.79,103.91,98.68,5.22,0,0
2006_1397,2006,1397,39.34,46.65,70.07,12.96,81.32,3.04,21.82,17.21,18.0,10.21,11.54,13,1,7,21,7,0,28,108.38,44.43,111.29,100.6,10.69,3,1
2006_1398,2006,1398,34.81,45.36,67.13,14.07,69.41,3.7,21.3,15.26,20.15,6.96,11.85,7,0,5,12,15,5,27,237.58,142.4,105.58,107.4,-1.82,0,0
2006_1399,2006,1399,33.16,43.19,68.83,15.93,71.1,2.66,22.59,12.21,22.34,7.21,13.55,10,1,6,17,12,3,29,211.88,130.67,101.48,101.89,-0.41,0,0
2006_1400,2006,1400,37.98,46.74,72.15,13.7,76.12,5.12,26.18,14.91,15.3,8.15,14.06,16,4,7,27,6,3,33,126.26,29.33,113.52,90.24,23.28,5,3
2006_1401,2006,1401,35.85,44.99,67.51,13.41,69.21,2.97,21.31,16.76,21.59,8.66,10.38,16,1,4,21,8,1,29,152.33,44.38,103.89,91.31,12.59,1,1
2006_1402,2006,1402,30.79,41.34,68.48,16.67,62.42,3.88,21.46,11.96,20.21,6.04,11.92,1,0,1,2,22,1,24,293.5,188.41,92.44,110.04,-17.6,0,0
2006_1403,2006,1403,39.0,43.93,71.21,14.0,68.34,2.44,23.56,15.06,16.16,5.47,9.62,12,1,2,15,17,7,32,170.87,57.12,98.67,100.32,-1.64,0,0
2006_1404,2006,1404,32.18,43.19,70.9,14.38,71.81,2.65,21.81,11.77,21.35,7.77,12.04,8,0,3,11,15,5,26,244.45,135.47,103.19,108.38,-5.19,0,0
2006_1405,2006,1405,33.98,46.48,68.49,15.5,69.47,2.63,19.57,12.8,20.13,9.7,9.77,13,2,4,19,11,5,30,227.26,129.18,101.85,95.33,6.53,0,0
2006_1406,2006,1406,34.07,44.47,69.83,15.04,69.71,2.54,24.5,15.43,17.46,6.75,10.79,7,0,5,12,16,5,28,207.75,142.88,100.92,106.75,-5.83,0,0
2006_1407,2006,1407,34.53,41.25,69.61,12.27,72.04,2.88,23.69,14.54,16.5,7.46,11.62,6,3,2,11,15,7,26,195.0,183.07,104.87,102.94,1.94,0,0
2006_1408,2006,1408,29.94,43.03,68.31,17.93,61.59,4.56,24.41,13.19,19.04,6.22,11.15,6,3,2,11,16,1,27,261.0,117.88,92.12,98.57,-6.45,0,0
2006_1409,2006,1409,33.02,42.19,70.09,18.33,61.41,3.33,25.59,12.07,21.41,6.19,9.74,7,0,3,10,17,3,27,222.8,142.24,90.58,96.89,-6.3,0,0
2006_1410,2006,1410,32.86,38.31,67.63,16.41,58.89,1.67,20.33,10.74,18.52,6.67,11.19,1,1,1,3,24,3,27,320.67,191.62,87.71,108.61,-20.89,0,0
2006_1411,2006,1411,34.03,39.7,64.59,19.07,66.32,3.29,24.61,10.82,19.68,6.25,12.71,4,0,2,6,22,4,28,295.17,182.41,89.18,106.02,-16.84,0,0
2006_1412,2006,1412,34.51,45.05,64.91,12.86,73.93,3.55,20.21,15.28,18.21,11.1,10.66,13,3,7,23,6,1,29,186.87,52.17,104.27,93.47,10.8,1,1
2006_1413,2006,1413,34.95,42.36,70.67,14.11,65.26,1.7,19.22,11.93,20.63,6.59,9.11,4,1,2,7,20,5,27,234.0,186.55,96.92,109.89,-12.96,0,0
2006_1414,2006,1414,42.02,47.21,75.27,13.63,70.89,2.7,23.78,14.81,16.11,5.11,9.81,7,1,8,16,11,3,27,231.44,167.55,110.82,103.5,7.32,0,0
2006_1415,2006,1415,31.35,39.08,69.83,17.15,65.7,2.81,22.67,11.26,19.93,7.26,13.26,3,0,2,5,22,4,27,229.8,191.77,89.95,105.72,-15.77,0,0
2006_1416,2006,1416,36.72,43.34,65.46,15.93,62.3,3.52,22.56,14.26,19.26,6.48,11.15,8,1,3,12,15,2,27,232.75,132.8,97.5,99.0,-1.49,0,0
2006_1417,2006,1417,35.69,48.06,70.35,14.55,68.58,2.76,22.09,14.06,16.15,5.64,10.88,14,5,8,27,6,0,33,117.78,47.0,108.09,93.22,14.88,4,0
2006_1418,2006,1418,29.51,44.22,64.43,17.03,66.76,5.62,25.86,14.21,18.62,6.76,10.59,8,1,4,13,16,3,29,194.31,119.19,95.05,99.05,-3.99,0,0
2006_1419,2006,1419,33.64,39.31,67.72,16.48,62.8,1.72,22.88,10.56,18.96,7.0,11.28,5,0,2,7,18,3,25,263.29,134.94,90.95,104.11,-13.15,0,0
2006_1420,2006,1420,31.91,43.51,63.84,13.72,66.9,2.38,21.21,13.97,17.62,7.14,11.69,8,1,1,10,19,6,29,262.8,179.79,99.29,105.46,-6.17,0,0
2006_1421,2006,1421,31.46,41.8,72.24,17.04,66.35,2.19,23.35,13.31,17.85,6.77,12.5,4,0,4,8,18,4,26,258.5,128.67,96.05,110.36,-14.32,0,0
2006_1422,2006,1422,32.32,43.39,65.4,16.41,67.28,4.52,20.93,12.55,18.38,8.59,11.9,6,3,1,10,19,6,29,249.6,166.47,97.69,107.22,-9.52,0,0
2006_1423,2006,1423,33.23,42.75,70.33,12.47,67.66,1.69,24.28,15.19,20.62,7.69,11.91,12,5,8,25,7,1,32,160.92,99.43,102.97,89.12,13.85,0,0
