,avgOR,AvgOffRating,avgStl,Avg FT%,avgAst,Neutral Win,AvgDefRating,Season,avgPf,Away Win,Avg FG%,Top 10 Wins,AvgWinRank,avgBlk,Avg FG3%,Wins,Losses,AvgLossRank,avgDr,Games,Team,Top 25 Wins,avgScore,Upsets,AvgNetRating,Home Win,AvgTO,Conference
2007_1174,8.81,95.09,5.45,71.79,10.77,1,109.19,2007,18.39,1,40.44,0,187.0,2.42,32.94,5,26,156.77,19.9,31,1174,0,60.45,5,-14.09,3,12.9,caa
2007_1175,10.5,105.43,5.88,74.5,11.44,3,104.63,2007,15.88,9,43.72,0,278.0,2.75,34.01,20,12,96.08,16.78,32,1175,0,59.09,0,0.8,8,12.13,meac
2007_1176,9.52,93.49,4.83,72.22,12.0,0,111.6,2007,17.07,0,39.89,0,214.25,1.41,35.17,4,25,202.16,22.9,29,1176,0,63.97,3,-18.1,4,14.97,sun_belt
2007_1177,11.07,103.52,6.17,65.57,13.6,0,98.42,2007,16.77,4,45.02,0,133.76,4.67,33.39,17,13,57.31,24.47,30,1177,3,66.77,4,5.1,13,11.97,big_east
2007_1178,11.33,101.68,5.7,65.2,12.73,1,105.79,2007,17.83,4,43.96,0,208.27,2.3,32.67,11,19,112.11,21.87,30,1178,0,63.77,5,-4.1,6,12.73,horizon
2007_1179,13.45,108.14,7.71,71.35,14.9,4,110.08,2007,17.9,2,44.69,0,153.88,2.87,32.92,16,15,65.53,22.06,31,1179,0,74.0,5,-1.94,10,13.58,mvc
2007_1180,10.53,101.97,8.17,69.6,12.17,1,93.15,2007,18.07,13,44.27,0,168.18,4.97,33.33,22,8,90.25,23.23,30,1180,2,66.6,2,8.82,8,14.03,caa
2007_1181,11.28,105.04,7.38,69.22,13.19,2,91.49,2007,17.44,5,46.88,1,101.32,4.72,38.31,22,10,32.9,23.81,32,1181,1,70.19,1,13.55,15,15.38,acc
2007_1182,13.48,105.22,7.48,74.43,16.03,0,115.76,2007,19.45,5,43.92,0,168.5,3.52,33.1,10,19,146.68,19.03,29,1182,0,78.31,6,-10.54,5,14.93,a_ten
2007_1183,11.24,94.59,5.59,72.69,11.97,0,103.9,2007,18.93,3,40.73,0,259.78,1.9,32.06,9,20,191.2,23.31,29,1183,0,60.97,5,-9.31,6,14.0,ovc
2007_1184,8.23,103.77,7.67,67.95,14.43,2,101.09,2007,13.9,8,46.67,0,243.11,2.5,35.82,19,11,154.91,19.97,30,1184,0,65.33,2,2.68,9,13.63,ovc
2007_1185,11.06,94.73,6.88,68.61,11.69,2,103.13,2007,19.75,3,42.01,0,250.54,1.84,35.92,13,19,126.84,21.69,32,1185,0,63.72,4,-8.39,8,17.81,mac
2007_1186,10.85,110.56,6.88,73.44,17.54,0,112.53,2007,19.5,5,49.38,0,242.5,2.81,33.53,12,14,153.07,22.88,26,1186,0,83.15,3,-1.97,7,15.35,big_sky
2007_1187,10.48,88.61,6.0,57.49,11.56,0,106.07,2007,19.0,1,39.06,0,240.33,2.41,30.78,3,24,153.88,22.63,27,1187,0,57.89,3,-17.45,2,14.07,cusa
2007_1189,10.64,93.57,5.93,67.86,10.68,0,107.65,2007,19.46,3,41.0,0,215.4,2.61,32.73,5,23,163.78,22.57,28,1189,0,61.21,5,-14.09,2,14.46,southern
2007_1190,11.39,100.68,9.84,72.97,15.74,1,94.27,2007,19.97,8,45.68,0,255.82,4.52,34.57,22,9,126.67,24.61,31,1190,0,73.1,1,6.4,13,16.81,a_sun
2007_1191,8.55,107.2,4.77,73.3,13.9,0,105.34,2007,19.26,4,45.68,1,165.57,2.55,39.79,14,17,79.12,22.45,31,1191,1,68.74,4,1.86,10,12.81,mvc
2007_1192,12.72,102.56,6.17,70.34,12.83,1,106.45,2007,17.76,7,42.8,0,240.77,3.24,32.41,13,16,205.44,22.66,29,1192,0,72.66,5,-3.9,5,13.45,nec
2007_1193,13.47,99.92,6.97,70.83,12.78,1,103.51,2007,19.13,5,40.98,0,245.92,3.09,32.56,13,19,122.42,18.59,32,1193,0,62.38,5,-3.59,7,14.75,maac
2007_1194,9.4,104.45,6.57,69.24,15.07,0,109.48,2007,20.07,5,48.3,0,234.27,1.83,36.49,15,15,138.27,23.5,30,1194,0,74.23,2,-5.03,10,15.27,sun_belt
2007_1196,11.09,117.45,7.09,68.04,15.76,6,91.53,2007,15.68,5,52.69,1,120.52,4.82,40.8,29,5,40.2,26.09,34,1196,4,79.32,1,25.92,18,14.0,sec
2007_1197,12.61,100.05,6.65,65.86,13.42,4,102.79,2007,18.0,6,44.8,0,279.11,1.71,36.22,18,13,132.69,23.71,31,1197,0,68.97,2,-2.74,8,17.55,meac
2007_1198,11.19,94.76,6.63,65.11,11.48,0,104.77,2007,18.85,3,41.87,0,233.9,2.56,32.95,10,17,162.88,22.44,27,1198,0,65.11,5,-10.01,7,15.37,sun_belt
2007_1199,10.94,108.35,7.78,76.81,12.31,2,101.08,2007,17.72,4,47.21,1,152.15,3.31,37.2,20,12,28.5,20.84,32,1199,3,74.13,4,7.27,14,14.38,acc
2007_1200,10.73,100.77,7.33,66.99,13.63,1,98.48,2007,19.27,6,43.64,0,210.67,4.1,35.74,18,12,73.17,21.07,30,1200,0,65.47,3,2.29,11,14.23,a_ten
2007_1201,10.0,100.15,5.77,64.81,14.32,0,91.83,2007,16.32,7,41.61,0,174.36,6.52,33.89,22,9,103.44,28.74,31,1201,1,71.13,5,8.32,15,13.42,wac
2007_1202,10.17,101.48,6.48,75.21,14.0,1,104.75,2007,18.79,5,43.89,0,234.77,2.17,36.65,13,16,145.31,21.9,29,1202,0,67.45,2,-3.27,7,14.79,southern
2007_1203,12.1,105.9,9.32,70.48,14.71,4,96.15,2007,18.87,6,46.32,0,192.52,4.42,37.25,23,8,61.5,21.9,31,1203,0,71.06,1,9.75,13,13.68,a_ten
2007_1204,12.41,95.94,6.9,60.64,13.21,3,97.71,2007,19.97,5,44.45,0,269.77,3.24,34.56,13,16,143.69,24.03,29,1204,0,67.38,3,-1.77,5,16.41,southern
2007_1205,10.69,94.28,7.24,64.03,13.34,0,107.58,2007,19.31,2,41.17,0,275.88,2.86,34.79,8,21,146.29,20.72,29,1205,0,63.17,2,-13.3,6,16.07,a_sun
2007_1206,9.91,103.62,5.91,64.31,14.03,3,97.58,2007,14.85,8,46.25,0,212.89,2.58,34.17,18,15,84.27,22.73,33,1206,0,63.33,4,6.03,7,12.27,caa
2007_1207,10.75,114.51,5.22,71.77,14.34,3,94.63,2007,16.5,9,50.65,2,120.46,5.03,36.61,26,6,25.0,22.53,32,1207,5,68.47,2,19.88,14,13.75,big_east
2007_1208,14.1,106.06,8.8,66.26,14.63,2,98.34,2007,17.47,3,45.79,0,149.0,4.57,37.54,17,13,31.23,24.13,30,1208,1,74.4,4,7.72,12,15.67,sec
2007_1209,10.77,96.39,5.71,65.63,10.94,1,107.71,2007,16.61,3,42.95,0,262.27,3.16,36.36,11,20,102.2,23.0,31,1209,0,64.29,3,-11.32,7,15.84,caa
2007_1210,13.68,110.49,10.0,68.35,15.48,2,98.21,2007,20.71,1,49.24,2,132.35,3.55,37.43,20,11,56.27,22.61,31,1210,3,79.1,8,12.27,17,15.87,acc
2007_1211,10.52,111.23,6.24,75.07,14.48,4,98.12,2007,19.3,6,48.72,1,172.26,3.58,39.54,23,10,65.7,27.09,33,1211,1,79.12,2,13.11,13,14.03,wcc
2007_1212,12.38,90.08,5.88,66.88,10.58,0,99.47,2007,19.71,3,40.15,0,299.5,3.0,30.51,10,14,196.93,24.17,24,1212,0,63.83,2,-9.39,7,16.96,swac
2007_1214,13.81,95.09,9.19,66.21,11.81,2,95.19,2007,23.23,7,42.31,0,266.67,3.26,30.27,15,16,179.94,22.19,31,1214,0,68.16,4,-0.1,6,20.55,meac
2007_1216,9.71,97.38,8.48,67.51,11.23,1,102.27,2007,19.26,5,40.92,0,245.31,1.23,29.22,13,18,163.78,20.13,31,1216,0,62.1,4,-4.88,7,12.55,aec
2007_1217,11.71,100.98,6.86,75.88,11.32,0,108.9,2007,16.75,6,44.34,0,219.92,2.89,31.83,12,16,151.31,20.89,28,1217,0,72.32,4,-7.92,6,16.14,ivy
2007_1218,12.39,101.05,6.48,72.95,17.39,2,93.72,2007,18.74,3,45.88,0,160.83,4.97,34.3,18,13,82.62,25.71,31,1218,1,72.42,6,7.33,13,17.42,wac
2007_1219,12.25,102.31,6.43,68.65,15.64,1,98.56,2007,19.25,6,45.46,0,288.06,3.18,34.59,18,10,157.7,23.82,28,1219,0,73.43,1,3.75,11,15.43,big_south
2007_1220,10.97,110.91,5.93,69.67,11.8,2,104.62,2007,19.07,9,45.42,0,174.86,2.33,40.66,21,9,135.0,22.4,30,1220,0,73.1,4,6.29,10,11.63,caa
2007_1221,11.36,101.52,9.55,73.48,13.73,1,90.88,2007,18.12,10,43.8,0,212.16,3.73,35.65,25,8,77.88,20.79,33,1221,0,64.24,0,10.64,14,15.18,patriot
2007_1222,12.58,103.35,8.36,71.52,11.45,3,99.86,2007,20.21,4,39.36,0,181.06,3.27,32.71,18,15,69.67,22.42,33,1222,0,73.18,1,3.49,11,11.61,cusa
2007_1224,10.03,95.32,5.19,65.36,12.1,3,106.75,2007,17.68,2,42.48,0,303.0,2.23,38.82,9,22,221.23,20.26,31,1224,0,64.81,7,-11.42,4,16.23,meac
2007_1225,9.42,89.84,4.81,67.71,10.06,1,109.34,2007,18.9,1,38.91,0,252.0,3.03,32.85,4,27,132.0,22.06,31,1225,0,61.52,2,-19.5,2,14.77,wac
2007_1226,10.76,104.14,6.1,70.96,11.66,1,104.0,2007,16.48,4,43.92,0,258.92,2.86,38.18,12,17,119.24,23.86,29,1226,0,66.79,3,0.14,7,13.83,big_sky
2007_1227,12.71,103.39,6.45,71.58,13.26,1,105.69,2007,17.39,4,41.33,0,175.23,5.16,37.95,13,18,118.67,23.74,31,1227,0,69.32,4,-2.3,8,12.0,horizon
2007_1228,12.59,102.32,5.94,62.56,14.0,6,90.81,2007,17.09,3,43.19,0,140.91,2.88,34.87,23,11,28.73,22.53,34,1228,1,64.5,3,11.51,14,13.82,big_ten
2007_1229,10.37,101.29,6.7,64.96,14.67,1,98.65,2007,18.4,3,45.15,0,163.21,3.33,36.39,14,16,80.25,21.93,30,1229,1,66.1,7,2.63,10,15.2,mvc
2007_1231,11.67,109.8,6.63,71.2,13.37,2,96.61,2007,20.8,3,45.17,2,143.6,4.47,38.39,20,10,33.0,21.63,30,1231,3,70.9,3,13.19,15,12.37,big_ten
2007_1232,9.83,96.86,5.13,70.75,10.47,1,105.43,2007,18.8,2,39.86,0,124.83,1.37,34.67,12,18,80.72,21.8,30,1232,1,61.4,8,-8.57,9,12.7,mvc
2007_1233,13.13,87.07,6.0,57.7,10.27,0,104.73,2007,20.27,1,40.81,0,251.5,4.77,27.78,2,28,178.96,21.77,30,1233,0,58.6,2,-17.66,1,17.87,maac
2007_1234,11.1,103.6,6.81,74.42,14.55,1,100.74,2007,18.13,2,43.88,0,158.12,3.29,36.11,17,14,60.71,22.03,31,1234,1,68.42,6,2.87,14,13.45,big_ten
2007_1235,12.27,96.02,4.37,70.16,11.43,0,99.84,2007,16.47,3,40.36,0,201.5,3.4,31.74,14,16,65.31,23.8,30,1235,0,62.73,4,-3.82,11,14.9,big_twelve
2007_1236,8.23,95.5,6.58,66.31,14.54,0,106.05,2007,20.04,4,43.32,0,302.22,3.04,36.24,9,17,130.65,22.04,26,1236,0,65.31,1,-10.54,5,15.19,ind
2007_1237,12.04,105.26,5.86,76.12,11.0,3,106.38,2007,17.71,4,41.68,0,264.0,2.43,38.48,13,15,124.2,21.14,28,1237,0,67.82,1,-1.12,6,13.04,mid_cont
2007_1238,13.36,98.74,8.18,70.47,13.52,5,99.5,2007,20.7,8,41.89,0,272.1,3.12,31.74,20,13,178.46,22.67,33,1238,0,71.03,1,-0.76,7,15.42,swac
2007_1239,13.37,100.61,8.41,72.83,13.96,0,105.2,2007,20.41,3,43.46,0,264.85,3.11,32.68,13,14,160.43,21.78,27,1239,0,72.56,2,-4.59,10,16.63,a_sun
2007_1240,11.68,99.12,6.96,68.15,13.79,1,106.4,2007,19.86,2,43.01,0,250.13,2.86,31.83,8,20,206.5,22.61,28,1240,0,65.93,8,-7.28,5,14.32,ovc
2007_1241,10.73,99.6,6.03,66.83,11.6,1,114.3,2007,20.4,2,43.6,0,258.29,2.1,33.67,7,23,143.52,19.33,30,1241,0,63.97,4,-14.7,4,14.0,caa
2007_1242,13.06,111.15,8.91,66.67,16.76,6,86.59,2007,18.65,8,49.01,1,124.63,6.68,38.16,30,4,57.0,27.32,34,1242,1,78.44,1,24.56,16,14.0,big_twelve
2007_1243,13.09,104.5,5.79,69.78,15.48,3,95.83,2007,18.91,6,42.97,0,164.32,3.76,33.65,22,11,58.36,23.03,33,1243,0,71.0,3,8.68,13,13.82,big_twelve
2007_1244,16.13,99.21,9.87,64.45,13.4,3,101.96,2007,19.07,2,39.49,0,281.92,3.23,27.69,12,18,170.0,19.3,30,1244,0,67.93,6,-2.75,7,13.67,a_sun
2007_1245,11.29,102.76,7.97,64.91,14.29,3,94.83,2007,18.65,7,45.52,0,203.9,3.32,33.64,20,11,91.27,22.29,31,1245,0,68.55,0,7.92,10,13.71,mac
2007_1246,10.78,107.38,5.97,69.97,15.88,3,98.11,2007,15.84,4,47.9,0,87.29,4.81,35.7,21,11,27.91,25.66,32,1246,1,73.53,1,9.27,14,14.69,sec
2007_1247,14.07,104.57,6.33,68.67,14.23,1,109.52,2007,18.7,3,45.81,0,265.2,2.0,35.36,10,20,129.2,22.23,30,1247,0,71.67,4,-4.96,6,15.93,a_ten
2007_1248,7.36,93.56,7.14,72.39,13.04,0,108.54,2007,20.25,4,42.09,0,277.29,2.54,35.27,7,21,147.9,19.36,28,1248,0,63.46,4,-14.98,3,17.25,patriot
2007_1249,12.77,101.16,5.53,64.9,16.73,2,104.88,2007,19.2,2,43.43,0,230.92,2.83,37.5,13,17,157.41,25.37,30,1249,1,72.8,4,-3.73,9,16.9,southland
2007_1250,10.52,95.42,5.66,70.92,11.45,0,102.49,2007,20.38,3,41.81,0,207.8,2.69,33.92,10,19,171.32,22.24,29,1250,0,62.14,7,-7.07,7,14.9,patriot
2007_1251,10.89,101.64,6.43,70.11,14.18,0,104.68,2007,20.64,3,47.43,0,296.91,2.82,32.67,11,17,174.12,25.36,28,1251,0,73.82,2,-3.04,8,15.36,big_south
2007_1252,11.1,103.27,6.86,69.7,13.28,1,100.61,2007,19.14,4,41.71,0,248.38,2.45,31.71,16,13,166.15,22.45,29,1252,0,67.28,3,2.65,11,11.86,a_sun
2007_1253,12.8,110.05,7.43,70.53,14.33,3,101.25,2007,17.2,9,45.6,0,216.91,2.7,37.21,23,7,112.29,23.83,30,1253,0,80.53,0,8.8,11,13.73,big_west
2007_1254,12.5,96.89,5.61,67.18,10.61,0,105.78,2007,19.39,4,39.67,0,266.56,1.79,31.39,9,19,221.68,23.18,28,1254,0,67.89,7,-8.89,5,14.5,nec
2007_1255,10.97,88.95,7.31,70.36,12.83,2,104.4,2007,17.93,1,39.68,0,262.43,3.97,29.57,7,22,187.82,22.66,29,1255,0,63.9,6,-15.45,4,16.31,ind
2007_1256,13.67,93.51,7.0,62.47,11.83,0,101.7,2007,20.63,3,40.56,0,199.9,3.23,29.98,10,20,110.15,22.43,30,1256,0,64.07,4,-8.19,7,14.4,wac
2007_1257,13.58,106.6,7.45,67.71,14.94,1,95.31,2007,20.39,6,43.28,1,138.73,4.16,33.19,22,9,27.78,23.45,31,1257,2,71.29,2,11.29,15,12.87,big_east
2007_1258,12.03,89.88,6.93,68.82,14.76,1,100.18,2007,18.72,3,39.74,0,138.18,1.83,32.08,11,18,151.94,22.24,29,1258,0,64.76,9,-10.3,7,16.41,wcc
2007_1259,10.81,107.39,6.32,71.0,14.13,1,103.3,2007,20.68,9,46.25,0,231.61,3.39,38.47,18,13,176.08,22.68,31,1259,0,71.39,4,4.09,8,14.23,maac
2007_1260,12.5,107.78,4.83,73.32,11.5,3,101.98,2007,16.67,6,45.05,0,197.63,3.4,33.91,19,11,76.73,23.07,30,1260,0,68.83,2,5.8,10,13.4,horizon
2007_1261,12.22,103.37,6.81,70.45,13.91,2,95.63,2007,15.31,1,45.1,1,127.71,4.84,33.66,17,15,55.67,25.44,32,1261,3,68.03,6,7.74,14,14.13,sec
2007_1263,10.68,97.43,7.5,67.02,11.61,0,103.87,2007,17.93,7,41.57,0,246.6,3.14,34.18,10,18,171.67,22.54,28,1263,0,63.89,3,-6.45,3,13.36,aec
2007_1264,12.13,97.48,7.83,70.57,11.13,0,101.26,2007,21.17,6,42.26,0,236.38,3.63,28.9,13,17,170.18,22.23,30,1264,0,65.93,6,-3.78,7,14.27,maac
2007_1265,11.66,110.36,5.28,67.72,15.34,3,99.81,2007,18.25,8,45.81,0,224.46,2.25,35.78,24,8,140.75,25.41,32,1265,0,75.59,1,10.55,13,12.97,maac
2007_1266,14.25,105.83,8.66,67.16,14.19,2,95.19,2007,20.41,6,43.99,2,133.52,3.38,33.5,23,9,48.89,22.5,32,1266,4,72.44,4,10.64,15,14.53,big_east
2007_1267,13.97,96.13,6.66,65.22,12.47,1,102.56,2007,19.53,3,40.09,0,171.77,4.31,29.34,13,19,127.95,23.13,32,1267,0,66.0,8,-6.44,9,15.41,cusa
2007_1268,12.63,107.36,7.53,69.85,17.34,1,91.87,2007,18.22,6,47.89,1,111.79,6.91,38.25,24,8,70.25,25.94,32,1268,4,79.5,3,15.49,17,15.78,acc
2007_1269,14.48,107.01,6.68,61.87,15.94,3,94.81,2007,21.16,9,47.55,0,180.48,7.52,34.07,23,8,75.5,26.13,31,1269,0,76.94,1,12.2,11,16.0,a_ten
2007_1270,14.23,89.91,7.23,66.0,10.77,1,98.76,2007,19.23,4,39.6,0,248.77,4.77,27.79,13,17,170.18,23.6,30,1270,0,62.07,6,-8.85,8,16.6,southland
2007_1271,12.07,88.07,6.5,62.94,9.13,1,107.94,2007,18.53,2,38.26,0,311.67,1.8,30.13,3,27,220.26,19.33,30,1271,0,59.73,3,-19.87,0,15.7,meac
2007_1272,14.79,111.02,9.82,60.99,15.06,2,87.5,2007,19.76,9,46.14,0,143.53,5.91,35.14,30,3,26.0,25.12,33,1272,1,79.58,0,23.52,19,13.58,cusa
2007_1273,11.57,95.52,6.46,71.38,12.5,0,104.59,2007,16.57,4,43.45,0,294.45,4.46,30.17,11,17,170.65,26.64,28,1273,0,71.75,3,-9.07,7,17.89,a_sun
2007_1274,14.09,106.32,6.31,70.19,12.44,1,109.81,2007,19.5,3,43.48,0,150.17,2.91,35.37,12,20,87.4,21.03,32,1274,2,71.22,7,-3.49,8,12.66,acc
2007_1275,8.03,99.33,5.81,70.9,12.84,4,96.45,2007,17.03,3,45.96,0,166.72,4.09,33.2,18,14,101.5,22.41,32,1275,0,59.56,3,2.88,11,13.34,mac
2007_1276,11.82,101.9,5.45,72.46,13.85,1,95.08,2007,16.79,3,44.65,0,159.29,5.79,34.2,21,12,27.25,23.33,33,1276,1,64.09,5,6.82,17,14.82,big_ten
2007_1277,11.48,105.5,5.12,71.05,16.0,3,92.42,2007,18.33,1,47.1,1,130.45,4.82,37.28,22,11,27.91,23.67,33,1277,2,65.09,2,13.07,18,15.03,big_ten
2007_1278,8.77,93.54,4.84,68.3,12.77,0,102.03,2007,16.81,1,43.15,0,198.44,4.9,35.34,9,22,71.59,22.97,31,1278,0,60.65,4,-8.49,8,14.71,big_ten
2007_1279,13.06,107.27,7.06,70.34,14.34,3,100.6,2007,17.16,2,44.14,0,154.8,3.38,34.75,20,12,51.0,22.72,32,1279,1,73.28,3,6.66,15,11.53,sec
2007_1280,12.48,107.94,6.74,65.85,14.45,2,97.73,2007,17.19,3,45.96,0,131.5,6.42,35.96,18,13,54.62,26.06,31,1280,1,76.16,5,10.21,13,14.0,sec
2007_1281,11.53,105.73,10.07,69.14,15.53,0,97.93,2007,20.5,3,46.03,0,165.33,3.03,37.23,18,12,60.83,23.3,30,1281,0,77.6,5,7.8,15,14.93,big_twelve
2007_1282,11.73,105.23,6.37,74.25,11.67,2,112.17,2007,18.23,1,41.95,0,227.09,2.4,35.51,11,19,151.58,19.93,30,1282,0,70.77,7,-6.94,8,11.7,mid_cont
2007_1283,10.52,109.85,7.71,69.71,16.23,2,97.19,2007,18.48,8,47.19,1,128.14,3.13,39.62,21,10,48.4,23.94,31,1283,1,73.58,1,12.66,11,13.0,mvc
2007_1284,8.63,99.0,6.47,65.7,13.73,1,103.76,2007,17.0,3,46.53,0,252.83,5.1,34.49,12,18,179.94,21.43,30,1284,0,64.6,7,-4.76,8,15.27,nec
2007_1285,11.6,108.35,5.7,66.31,14.9,1,107.52,2007,19.07,5,45.73,0,236.67,3.2,36.21,15,15,155.27,21.33,30,1285,0,71.17,8,0.83,9,13.0,big_sky
2007_1286,12.32,96.91,5.39,66.41,13.79,0,106.72,2007,22.14,3,41.52,0,242.33,3.25,32.41,9,19,178.37,22.54,28,1286,0,66.39,5,-9.8,6,15.93,big_sky
2007_1287,11.86,98.7,5.61,65.66,14.64,0,103.13,2007,19.18,4,43.13,0,220.7,1.75,31.17,10,18,211.22,20.57,28,1287,0,63.07,6,-4.42,6,14.21,ovc
2007_1288,12.97,100.58,5.9,62.99,12.45,1,101.95,2007,21.39,4,45.73,0,280.54,3.39,32.89,13,18,208.28,22.03,31,1288,0,68.0,7,-1.37,8,16.23,meac
2007_1290,12.03,92.74,5.76,65.2,10.85,2,93.08,2007,17.27,6,40.63,0,290.0,4.3,32.34,18,15,161.2,23.79,33,1290,0,61.0,1,-0.35,10,15.88,swac
2007_1291,11.68,96.51,7.74,68.2,11.74,0,100.6,2007,20.77,4,43.21,0,269.18,2.68,32.0,11,20,184.0,20.71,31,1291,0,65.23,4,-4.08,7,14.77,nec
2007_1292,8.77,98.1,3.9,69.64,12.58,1,100.84,2007,20.06,7,45.94,0,209.43,2.84,33.73,14,17,132.65,23.39,31,1292,0,62.42,6,-2.73,6,14.06,sun_belt
2007_1293,11.0,98.69,7.11,68.24,13.3,0,100.09,2007,20.96,8,44.0,0,261.21,2.93,36.04,14,13,139.46,22.19,27,1293,0,65.7,3,-1.4,6,15.11,ovc
2007_1294,11.69,94.61,5.08,68.04,13.04,0,107.93,2007,23.73,1,42.25,0,262.0,2.42,37.75,3,23,208.09,22.85,26,1294,0,66.38,3,-13.33,2,17.65,big_sky
2007_1295,12.33,110.04,7.75,70.24,14.63,1,97.35,2007,17.58,6,49.7,0,259.5,4.54,40.06,16,8,143.5,23.58,24,1295,1,74.75,2,12.69,9,15.04,ind
2007_1296,10.45,98.21,5.38,71.2,14.17,0,107.59,2007,18.48,2,47.13,0,196.0,3.31,35.53,6,23,163.52,22.21,29,1296,0,66.34,6,-9.39,4,18.1,mac
2007_1298,7.11,92.73,7.07,74.38,12.86,2,99.14,2007,21.46,5,40.76,0,267.25,1.61,35.92,12,16,130.38,21.61,28,1298,0,60.93,2,-6.41,5,15.57,patriot
2007_1299,10.63,97.99,8.03,67.48,12.17,1,99.7,2007,18.57,6,42.73,0,265.85,1.6,34.4,13,17,213.41,21.9,30,1299,0,71.97,5,-1.72,6,16.6,meac
2007_1301,8.06,105.64,5.39,73.06,14.88,3,105.82,2007,15.97,2,49.38,1,147.0,3.45,35.86,18,15,51.2,23.7,33,1301,2,72.18,7,-0.18,13,14.91,acc
2007_1304,8.34,102.86,6.62,71.43,14.76,3,100.6,2007,18.03,2,44.84,0,139.33,2.28,37.66,15,14,89.79,21.55,29,1304,1,66.59,8,2.25,10,14.07,big_twelve
2007_1305,11.61,114.85,5.45,75.47,16.55,3,98.21,2007,16.71,10,48.79,0,163.3,4.13,41.35,27,4,41.25,26.55,31,1305,0,77.68,0,16.64,14,13.03,wac
2007_1306,8.31,95.36,3.79,67.61,10.62,1,104.89,2007,17.83,5,40.47,0,255.3,1.93,34.59,10,19,168.79,21.48,29,1306,0,58.38,7,-9.53,4,12.48,aec
2007_1307,10.45,107.97,5.65,66.11,14.77,1,107.63,2007,17.58,1,45.68,0,199.93,2.29,37.34,14,17,80.12,22.55,31,1307,0,74.81,6,0.34,12,12.29,mwc
2007_1308,13.41,106.99,7.13,65.09,13.69,0,99.59,2007,20.81,6,47.88,0,173.33,2.81,39.53,24,8,99.5,24.63,32,1308,1,77.66,3,7.4,18,17.03,wac
2007_1309,10.1,107.48,6.53,71.36,11.43,0,111.67,2007,19.93,5,45.24,0,232.54,3.3,41.43,13,17,147.12,21.43,30,1309,0,73.13,5,-4.19,8,11.77,sun_belt
2007_1310,14.67,108.21,6.27,73.23,13.58,4,104.67,2007,17.36,9,42.26,0,226.09,1.58,35.06,22,11,172.73,23.42,33,1310,0,76.06,3,3.54,9,13.36,maac
2007_1311,9.17,97.68,6.28,75.35,15.45,0,111.86,2007,18.0,2,42.57,0,248.86,2.24,33.25,7,22,161.27,22.52,29,1311,0,71.31,5,-14.18,5,16.03,southland
2007_1312,8.79,85.01,6.21,65.66,10.69,0,105.49,2007,20.62,2,40.35,0,274.2,2.93,27.79,5,24,216.58,21.69,29,1312,0,57.14,5,-20.48,3,17.83,ind
2007_1313,12.07,96.72,5.87,63.43,10.73,1,109.33,2007,19.03,3,45.63,0,286.55,3.47,34.71,11,19,177.68,22.03,30,1313,0,65.67,3,-12.61,7,17.87,meac
2007_1314,13.41,115.52,8.38,70.73,18.65,6,91.98,2007,17.29,6,50.42,1,88.43,4.59,36.5,28,6,47.67,27.29,34,1314,6,86.26,1,23.54,16,13.94,acc
2007_1316,10.04,81.27,6.3,60.08,10.78,0,104.13,2007,17.59,0,38.29,0,179.0,2.74,31.88,1,26,206.23,22.37,27,1316,0,53.48,1,-22.86,1,17.07,a_sun
2007_1317,13.77,105.43,6.17,65.24,12.43,3,99.62,2007,20.4,7,45.6,0,212.55,4.4,37.94,20,10,192.5,25.2,30,1317,0,76.23,3,5.81,10,15.47,sun_belt
2007_1318,8.72,97.05,4.94,69.5,13.34,1,103.39,2007,15.09,2,41.12,0,236.85,4.0,35.61,13,19,94.11,21.5,32,1318,0,62.19,3,-6.34,10,12.41,caa
2007_1319,10.79,110.01,5.0,74.62,17.71,1,110.03,2007,22.68,6,49.04,0,233.69,2.18,43.7,16,12,148.25,24.57,28,1319,0,82.11,0,-0.02,9,16.32,big_sky
2007_1320,9.2,103.95,4.17,70.55,13.1,2,100.3,2007,16.67,6,44.72,1,143.82,3.13,35.35,17,13,71.38,24.77,30,1320,1,65.23,5,3.65,9,12.4,mvc
2007_1321,7.1,98.42,8.38,69.88,15.17,1,103.41,2007,14.93,1,43.66,0,190.18,2.83,31.7,11,18,63.5,17.55,29,1321,0,56.79,6,-4.99,9,10.9,big_ten
2007_1322,13.16,103.61,9.87,71.17,16.45,2,102.52,2007,21.97,6,44.33,0,240.31,3.9,36.26,16,15,153.53,21.52,31,1322,0,78.68,1,1.09,8,16.23,southland
2007_1323,12.68,115.15,8.42,75.07,17.48,2,96.49,2007,18.06,4,46.06,0,159.92,3.48,39.69,24,7,65.29,25.68,31,1323,3,81.55,3,18.66,18,12.94,big_east
2007_1324,13.25,107.26,6.09,76.92,12.72,3,104.07,2007,17.19,6,43.57,0,218.83,1.09,37.59,18,14,114.71,21.19,32,1324,0,69.31,2,3.19,9,14.53,mid_cont
2007_1325,11.45,105.5,8.26,72.27,13.06,4,103.03,2007,16.13,4,44.67,0,175.94,2.1,33.27,18,13,133.15,22.94,31,1325,0,72.26,5,2.47,10,14.06,mac
2007_1326,11.18,112.43,6.82,69.55,15.58,4,92.3,2007,13.58,7,47.17,2,112.63,5.94,36.34,30,3,4.0,24.52,33,1326,5,73.64,0,20.13,19,11.76,big_ten
